

lambda(m), Y
8e-07, 0.0924677
7.98005e-07, 0.0927793
7.9602e-07, 0.092954
7.94045e-07, 0.0929836
7.92079e-07, 0.09286
7.90123e-07, 0.0925849
7.88177e-07, 0.092155
7.86241e-07, 0.0915686
7.84314e-07, 0.0908276
7.82396e-07, 0.08994
7.80488e-07, 0.0889002
7.78589e-07, 0.0877136
7.76699e-07, 0.0863873
7.74818e-07, 0.0849255
7.72947e-07, 0.0831644
7.71084e-07, 0.0813024
7.69231e-07, 0.0793579
7.67386e-07, 0.0773523
7.6555e-07, 0.0753102
7.63723e-07, 0.0732629
7.61905e-07, 0.0712377
7.60095e-07, 0.0692677
7.58294e-07, 0.0673892
7.56501e-07, 0.0656411
7.54717e-07, 0.0640668
7.52941e-07, 0.0627078
7.51174e-07, 0.0616033
7.49415e-07, 0.0607736
7.47664e-07, 0.0602902
7.45921e-07, 0.0602032
7.44186e-07, 0.0605535
7.42459e-07, 0.0613765
7.40741e-07, 0.0627085
7.3903e-07, 0.0645819
7.37327e-07, 0.0670165
7.35632e-07, 0.0700295
7.33945e-07, 0.0736466
7.32265e-07, 0.0778758
7.30594e-07, 0.082718
7.28929e-07, 0.0881592
7.27273e-07, 0.0941603
7.25624e-07, 0.100725
7.23982e-07, 0.107827
7.22348e-07, 0.115433
7.20721e-07, 0.123506
7.19101e-07, 0.131983
7.17489e-07, 0.14084
7.15884e-07, 0.15003
7.14286e-07, 0.159502
7.12695e-07, 0.169209
7.11111e-07, 0.179129
7.09534e-07, 0.189188
7.07965e-07, 0.199334
7.06402e-07, 0.209523
7.04846e-07, 0.219711
7.03297e-07, 0.229848
7.01754e-07, 0.239902
7.00219e-07, 0.249842
6.9869e-07, 0.259637
6.97168e-07, 0.269259
6.95652e-07, 0.278683
6.94143e-07, 0.287887
6.92641e-07, 0.296855
6.91145e-07, 0.305571
6.89655e-07, 0.31402
6.88172e-07, 0.322115
6.86695e-07, 0.329808
6.85225e-07, 0.337205
6.83761e-07, 0.344301
6.82303e-07, 0.351094
6.80851e-07, 0.357584
6.79406e-07, 0.363776
6.77966e-07, 0.369662
6.76533e-07, 0.375242
6.75105e-07, 0.380519
6.73684e-07, 0.385497
6.72269e-07, 0.390185
6.7086e-07, 0.394578
6.69456e-07, 0.398679
6.68058e-07, 0.402491
6.66667e-07, 0.40602
6.65281e-07, 0.40927
6.639e-07, 0.412243
6.62526e-07, 0.414946
6.61157e-07, 0.417382
6.59794e-07, 0.419554
6.58436e-07, 0.421463
6.57084e-07, 0.423117
6.55738e-07, 0.424518
6.54397e-07, 0.425671
6.53061e-07, 0.426578
6.51731e-07, 0.427185
6.50407e-07, 0.427513
6.49087e-07, 0.427605
6.47773e-07, 0.427463
6.46465e-07, 0.427089
6.45161e-07, 0.426489
6.43863e-07, 0.425665
6.4257e-07, 0.424615
6.41283e-07, 0.423343
6.4e-07, 0.42185
6.38723e-07, 0.420139
6.3745e-07, 0.41821
6.36183e-07, 0.416066
6.34921e-07, 0.413718
6.33663e-07, 0.411159
6.32411e-07, 0.408385
6.31164e-07, 0.405388
6.29921e-07, 0.402179
6.28684e-07, 0.398759
6.27451e-07, 0.395131
6.26223e-07, 0.391294
6.25e-07, 0.387269
6.23782e-07, 0.383038
6.22568e-07, 0.378604
6.21359e-07, 0.373967
6.20155e-07, 0.369129
6.18956e-07, 0.363957
6.17761e-07, 0.358555
6.1657e-07, 0.352963
6.15385e-07, 0.347186
6.14203e-07, 0.341227
6.13027e-07, 0.335095
6.11855e-07, 0.328791
6.10687e-07, 0.322319
6.09524e-07, 0.315685
6.08365e-07, 0.308895
6.07211e-07, 0.301958
6.06061e-07, 0.29488
6.04915e-07, 0.28767
6.03774e-07, 0.280335
6.02637e-07, 0.272884
6.01504e-07, 0.265326
6.00375e-07, 0.257667
5.99251e-07, 0.249927
5.98131e-07, 0.242117
5.97015e-07, 0.23425
5.95903e-07, 0.226341
5.94796e-07, 0.218401
5.93692e-07, 0.210449
5.92593e-07, 0.202503
5.91497e-07, 0.194578
5.90406e-07, 0.186694
5.89319e-07, 0.179007
5.88235e-07, 0.171407
5.87156e-07, 0.163911
5.86081e-07, 0.156536
5.85009e-07, 0.149302
5.83942e-07, 0.142233
5.82878e-07, 0.135342
5.81818e-07, 0.128645
5.80762e-07, 0.122159
5.7971e-07, 0.115901
5.78662e-07, 0.109878
5.77617e-07, 0.104113
5.76577e-07, 0.0986248
5.7554e-07, 0.093428
5.74506e-07, 0.0885343
5.73477e-07, 0.0839556
5.72451e-07, 0.0797017
5.71429e-07, 0.0757794
5.7041e-07, 0.0721948
5.69395e-07, 0.0689522
5.68384e-07, 0.0660515
5.67376e-07, 0.0634884
5.66372e-07, 0.0612676
5.65371e-07, 0.0593862
5.64374e-07, 0.0578399
5.6338e-07, 0.0566297
5.6239e-07, 0.0557723
5.61404e-07, 0.0552262
5.6042e-07, 0.0549792
5.59441e-07, 0.0550176
5.58464e-07, 0.0553256
5.57491e-07, 0.0558577
5.56522e-07, 0.0566244
5.55556e-07, 0.0576079
5.54593e-07, 0.0587898
5.53633e-07, 0.0601507
5.52677e-07, 0.0617181
5.51724e-07, 0.0634345
5.50775e-07, 0.0652712
5.49828e-07, 0.0672068
5.48885e-07, 0.0692196
5.47945e-07, 0.0712615
5.47009e-07, 0.0733264
5.46075e-07, 0.0754049
5.45145e-07, 0.0774784
5.44218e-07, 0.0795246
5.43294e-07, 0.0815306
5.42373e-07, 0.0834755
5.41455e-07, 0.0853342
5.40541e-07, 0.087088
5.39629e-07, 0.0887191
5.38721e-07, 0.0901882
5.37815e-07, 0.0914632
5.36913e-07, 0.0925647
5.36013e-07, 0.093478
5.35117e-07, 0.0941898
5.34224e-07, 0.0946896
5.33333e-07, 0.094973
5.32446e-07, 0.0950198
5.31561e-07, 0.0948199
5.3068e-07, 0.0943647
5.29801e-07, 0.0936474
5.28926e-07, 0.0926653
5.28053e-07, 0.0914037
5.27183e-07, 0.0898591
5.26316e-07, 0.0880297
5.25452e-07, 0.0859155
5.2459e-07, 0.0835224
5.23732e-07, 0.0808542
5.22876e-07, 0.0779172
5.22023e-07, 0.074721
5.21173e-07, 0.0712776
5.20325e-07, 0.0676033
5.19481e-07, 0.0637158
5.18639e-07, 0.0596365
5.17799e-07, 0.0553912
5.16963e-07, 0.0510096
5.16129e-07, 0.0465142
5.15298e-07, 0.0419475
5.14469e-07, 0.0373629
5.13644e-07, 0.0328069
5.12821e-07, 0.0283297
5.12e-07, 0.0239754
5.11182e-07, 0.0197942
5.10367e-07, 0.0158626
5.09554e-07, 0.0122422
5.08744e-07, 0.00899522
5.07937e-07, 0.0061879
5.07132e-07, 0.00389254
5.06329e-07, 0.00213769
5.05529e-07, 0.00097424
5.04732e-07, 0.000447651
5.03937e-07, 0.000596886
5.03145e-07, 0.00146034
5.02355e-07, 0.00306417
5.01567e-07, 0.00542144
5.00782e-07, 0.00853485
5e-07, 0.0123965
4.9922e-07, 0.0169712
4.98442e-07, 0.0222398
4.97667e-07, 0.0281672
4.96894e-07, 0.0347076
4.96124e-07, 0.0418083
4.95356e-07, 0.0494283
4.9459e-07, 0.0574949
4.93827e-07, 0.0659338
4.93066e-07, 0.0746756
4.92308e-07, 0.0836506
4.91551e-07, 0.0927846
4.90798e-07, 0.102012
4.90046e-07, 0.111274
4.89297e-07, 0.120509
4.8855e-07, 0.129662
4.87805e-07, 0.138685
4.87062e-07, 0.147534
4.86322e-07, 0.156159
4.85584e-07, 0.164527
4.84848e-07, 0.172602
4.84115e-07, 0.180366
4.83384e-07, 0.187812
4.82655e-07, 0.194891
4.81928e-07, 0.201589
4.81203e-07, 0.207892
4.8048e-07, 0.213784
4.7976e-07, 0.219234
4.79042e-07, 0.224277
4.78326e-07, 0.228913
4.77612e-07, 0.23314
4.769e-07, 0.23696
4.7619e-07, 0.240087
4.75483e-07, 0.242774
4.74777e-07, 0.245055
4.74074e-07, 0.246936
4.73373e-07, 0.248428
4.72674e-07, 0.249536
4.71976e-07, 0.25028
4.71281e-07, 0.25067
4.70588e-07, 0.250714
4.69897e-07, 0.250423
4.69208e-07, 0.249802
4.68521e-07, 0.24886
4.67836e-07, 0.247607
4.67153e-07, 0.246051
4.66472e-07, 0.244203
4.65793e-07, 0.242084
4.65116e-07, 0.239707
4.64441e-07, 0.237071
4.63768e-07, 0.234186
4.63097e-07, 0.231061
4.62428e-07, 0.227706
4.6176e-07, 0.224128
4.61095e-07, 0.220341
4.60432e-07, 0.216355
4.5977e-07, 0.212179
4.5911e-07, 0.207827
4.58453e-07, 0.203313
4.57797e-07, 0.198643
4.57143e-07, 0.193827
4.56491e-07, 0.188876
4.5584e-07, 0.183802
4.55192e-07, 0.178619
4.54545e-07, 0.173335
4.53901e-07, 0.167964
4.53258e-07, 0.162517
4.52617e-07, 0.157006
4.51977e-07, 0.151427
4.5134e-07, 0.145805
4.50704e-07, 0.140157
4.5007e-07, 0.134496
4.49438e-07, 0.128834
4.48808e-07, 0.123201
4.48179e-07, 0.117602
4.47552e-07, 0.112039
4.46927e-07, 0.106523
4.46304e-07, 0.101067
4.45682e-07, 0.0956721
4.45063e-07, 0.0903498
4.44444e-07, 0.0851223
4.43828e-07, 0.0799999
4.43213e-07, 0.0749929
4.426e-07, 0.0700755
4.41989e-07, 0.0652251
4.41379e-07, 0.0605351
4.40771e-07, 0.0560123
4.40165e-07, 0.0516626
4.3956e-07, 0.0474893
4.38957e-07, 0.0434928
4.38356e-07, 0.0396832
4.37756e-07, 0.036063
4.37158e-07, 0.0326342
4.36562e-07, 0.0293983
4.35967e-07, 0.0263645
4.35374e-07, 0.0235187
4.34783e-07, 0.0208616
4.34193e-07, 0.0183917
4.33604e-07, 0.0161062
4.33018e-07, 0.0139977
4.32432e-07, 0.0120658
4.31849e-07, 0.0103067
4.31267e-07, 0.00871516
4.30686e-07, 0.00728535
4.30108e-07, 0.00601094
4.2953e-07, 0.00488534
4.28954e-07, 0.00390162
4.2838e-07, 0.00305251
4.27807e-07, 0.00233049
4.27236e-07, 0.00172886
4.26667e-07, 0.00123875
4.26099e-07, 0.000851073
4.25532e-07, 0.000558022
4.24967e-07, 0.000351818
4.24403e-07, 0.000224731
4.23841e-07, 0.000169335
4.2328e-07, 0.000178136
4.22721e-07, 0.000243705
4.22164e-07, 0.0003588
4.21607e-07, 0.000516402
4.21053e-07, 0.000709813
4.20499e-07, 0.00093251
4.19948e-07, 0.00117826
4.19397e-07, 0.00144112
4.18848e-07, 0.00171545
4.18301e-07, 0.00199588
4.17755e-07, 0.00227765
4.1721e-07, 0.00255617
4.16667e-07, 0.00282723
4.16125e-07, 0.00308696
4.15584e-07, 0.00333257
4.15045e-07, 0.00356029
4.14508e-07, 0.00376731
4.13972e-07, 0.00395124
4.13437e-07, 0.00411006
4.12903e-07, 0.00423055
4.12371e-07, 0.00431667
4.1184e-07, 0.00437297
4.11311e-07, 0.00439921
4.10783e-07, 0.00439549
4.10256e-07, 0.00436276
4.09731e-07, 0.00430183
4.09207e-07, 0.00421323
4.08685e-07, 0.00409835
4.08163e-07, 0.00395886
4.07643e-07, 0.00379715
4.07125e-07, 0.003616
4.06607e-07, 0.00341681
4.06091e-07, 0.00320225
4.05577e-07, 0.00297519
4.05063e-07, 0.00273868
4.04551e-07, 0.00249577
4.0404e-07, 0.00224957
4.03531e-07, 0.00200412
4.03023e-07, 0.0017631
4.02516e-07, 0.0015303
4.0201e-07, 0.00131055
4.01506e-07, 0.00110666
4.01003e-07, 0.000922506
4.00501e-07, 0.000762
4e-07, 0.000629007



