lambda_nm,Rs,Ts,Rp,Tp
800,0.413731,0.11554,0.37125,0.131456
798.005,0.413189,0.115324,0.372263,0.132465
796.02,0.412193,0.115475,0.373345,0.133773
794.045,0.41087,0.115994,0.374496,0.135412
792.079,0.409301,0.116878,0.375661,0.1374
790.123,0.407262,0.118056,0.37658,0.139663
788.177,0.404721,0.119526,0.377127,0.142214
786.241,0.401637,0.121288,0.377204,0.145073
784.314,0.397879,0.123329,0.376681,0.148242
782.396,0.393132,0.125606,0.375315,0.151682
780.488,0.387652,0.128195,0.373306,0.155515
778.589,0.381395,0.131115,0.370638,0.15977
776.699,0.374347,0.134407,0.367297,0.164475
774.818,0.366559,0.138159,0.36329,0.169661
772.947,0.358706,0.142531,0.35908,0.175391
771.084,0.350248,0.147794,0.354205,0.181645
769.231,0.341242,0.154374,0.348641,0.188449
767.386,0.331864,0.162741,0.342366,0.195823
765.55,0.322779,0.173136,0.335363,0.203783
763.723,0.315226,0.184906,0.327372,0.212041
761.905,0.310643,0.19711,0.31861,0.220783
760.095,0.30875,0.208717,0.309142,0.23002
758.294,0.307724,0.21936,0.299017,0.239697
756.501,0.305731,0.229312,0.288313,0.249732
754.717,0.302022,0.239511,0.277133,0.260529
752.941,0.29641,0.249938,0.265613,0.271694
751.174,0.289226,0.260436,0.253981,0.282826
749.415,0.281042,0.270872,0.242529,0.293654
747.664,0.272471,0.280981,0.23162,0.303825
745.921,0.263919,0.290077,0.221515,0.312561
744.186,0.256106,0.29773,0.212825,0.31936
742.459,0.249783,0.303766,0.206233,0.323997
740.741,0.245413,0.307829,0.202212,0.32608
739.03,0.243304,0.309668,0.201104,0.325407
737.327,0.243579,0.309552,0.203042,0.32241
735.632,0.24596,0.30787,0.207807,0.317644
733.945,0.249935,0.304318,0.215133,0.310914
732.265,0.254966,0.299174,0.22471,0.302599
730.594,0.261012,0.292443,0.236185,0.293049
728.929,0.270031,0.282945,0.24924,0.282336
727.273,0.285728,0.268677,0.263655,0.270176
725.624,0.306966,0.251975,0.278888,0.257717
723.982,0.328897,0.23548,0.294577,0.245217
722.348,0.349044,0.220262,0.310405,0.232902
720.721,0.367189,0.206378,0.326092,0.220997
719.101,0.383484,0.194403,0.341186,0.210331
717.489,0.398486,0.183297,0.355835,0.200175
715.884,0.412358,0.173015,0.369927,0.190607
714.286,0.425207,0.163527,0.383386,0.181681
712.695,0.437111,0.154806,0.396166,0.17343
711.111,0.448316,0.14617,0.408571,0.165249
709.534,0.458612,0.138313,0.420225,0.157836
707.965,0.46804,0.131227,0.431134,0.151211
706.402,0.476646,0.124859,0.441342,0.145333
704.846,0.484467,0.119156,0.450899,0.140144
703.297,0.491452,0.114153,0.459723,0.135621
701.754,0.497694,0.109734,0.467937,0.131594
700.219,0.503215,0.105846,0.475558,0.127919
698.69,0.507996,0.102471,0.482522,0.124474
697.168,0.512,0.0996062,0.488731,0.121153
695.652,0.515324,0.0973276,0.494243,0.117973
694.143,0.517863,0.0956747,0.498924,0.114879
692.641,0.519451,0.0947147,0.502573,0.111813
691.145,0.520124,0.0946355,0.505166,0.108809
689.655,0.520145,0.0957171,0.506733,0.105912
688.172,0.520216,0.0982797,0.507273,0.103172
686.695,0.521955,0.102389,0.506884,0.100639
685.225,0.527647,0.107227,0.50586,0.0983699
683.761,0.537899,0.110909,0.504427,0.0964213
682.303,0.549936,0.112164,0.502845,0.0948575
680.851,0.560216,0.111587,0.501322,0.0937215
679.406,0.567258,0.110422,0.499968,0.0930377
677.966,0.571553,0.109633,0.499108,0.0929475
676.533,0.573741,0.109502,0.498766,0.0934946
675.105,0.574332,0.110054,0.49884,0.0947091
673.684,0.573729,0.11119,0.4991,0.0966132
672.269,0.572389,0.112713,0.499184,0.0992577
670.86,0.571262,0.114253,0.498649,0.102639
669.456,0.571087,0.115686,0.496878,0.106781
668.058,0.571252,0.117546,0.492909,0.111733
666.667,0.57036,0.120728,0.482246,0.118504
665.281,0.567508,0.125203,0.488642,0.134464
663.9,0.563131,0.130201,0.488445,0.138428
662.526,0.557333,0.135963,0.486299,0.141903
661.157,0.550211,0.142486,0.482638,0.145671
659.794,0.541796,0.149784,0.477605,0.149992
658.436,0.532474,0.157978,0.471565,0.155104
657.084,0.521957,0.16705,0.464353,0.160986
655.738,0.510112,0.177002,0.455915,0.167626
654.397,0.496937,0.187835,0.446292,0.17501
653.061,0.482469,0.199518,0.435558,0.183089
651.731,0.466411,0.211795,0.423533,0.191593
650.407,0.449166,0.224507,0.410565,0.200387
649.087,0.431302,0.237469,0.397116,0.209317
647.773,0.413309,0.25031,0.383581,0.218083
646.465,0.395828,0.262557,0.370446,0.226324
645.161,0.379495,0.273746,0.358168,0.2337
643.863,0.365226,0.283214,0.347402,0.239743
642.57,0.354071,0.290218,0.338891,0.243948
641.283,0.346785,0.294233,0.333163,0.245974
640,0.343867,0.29493,0.330577,0.245614
638.723,0.345464,0.292233,0.331275,0.242827
637.45,0.351354,0.28633,0.335175,0.237739
636.183,0.360956,0.277689,0.341968,0.230663
634.921,0.373452,0.266934,0.351193,0.222014
633.663,0.387929,0.25475,0.36232,0.21226
632.411,0.403416,0.241616,0.374764,0.201719
631.164,0.418646,0.227439,0.387723,0.190285
629.921,0.433576,0.213717,0.401038,0.179161
628.684,0.447908,0.200664,0.414409,0.168559
627.451,0.461492,0.188364,0.427593,0.158607
626.223,0.474277,0.176801,0.440396,0.149368
625,0.487567,0.166647,0.453632,0.141422
623.782,0.500039,0.156913,0.466246,0.134068
622.568,0.511587,0.147572,0.478092,0.127292
621.359,0.522129,0.138695,0.489088,0.121076
620.155,0.531603,0.130411,0.499192,0.115399
618.956,0.539198,0.122546,0.507832,0.110023
617.761,0.545382,0.115364,0.515463,0.105129
616.57,0.55023,0.108872,0.52229,0.100754
615.385,0.553619,0.103004,0.528366,0.0968719
614.203,0.555475,0.0977356,0.533742,0.0934562
613.027,0.556046,0.0931168,0.53867,0.0905207
611.855,0.555241,0.0891898,0.543068,0.0880187
610.687,0.553086,0.0860395,0.546859,0.0859036
609.524,0.549836,0.0837934,0.550066,0.0841512
608.365,0.545815,0.0825767,0.552711,0.0827392
607.211,0.541484,0.0825018,0.5549,0.0817118
606.061,0.537124,0.0834947,0.556651,0.0810375
604.915,0.532775,0.0852701,0.55788,0.0806394
603.774,0.528345,0.087406,0.558583,0.0805086
602.637,0.523555,0.0894089,0.55875,0.0806393
601.504,0.517937,0.0907746,0.558208,0.0809605
600.375,0.511166,0.091218,0.556782,0.0814179
599.251,0.503563,0.0910193,0.554739,0.0821401
598.131,0.495335,0.0903937,0.552047,0.0831304
597.015,0.486756,0.0895825,0.548673,0.0843961
595.903,0.478055,0.0887745,0.544539,0.0859281
594.796,0.469322,0.0880535,0.539453,0.0876617
593.692,0.460878,0.0876471,0.53357,0.0897013
592.593,0.452836,0.0876177,0.526849,0.0920648
591.497,0.445302,0.0879876,0.51925,0.0947718
590.406,0.438404,0.0887466,0.510731,0.0978431
589.319,0.432743,0.090362,0.501783,0.101866
588.235,0.427763,0.0924586,0.491788,0.106404
587.156,0.423028,0.095183,0.480696,0.111493
586.081,0.417764,0.098743,0.468478,0.117166
585.009,0.411282,0.103276,0.455123,0.123448
583.942,0.40369,0.109373,0.441035,0.131061
582.878,0.394619,0.116704,0.425877,0.139652
581.818,0.384052,0.12509,0.409627,0.149069
580.762,0.372113,0.134456,0.392438,0.159265
579.71,0.35898,0.144683,0.374552,0.170136
578.662,0.344465,0.153724,0.35599,0.179378
577.617,0.329717,0.161721,0.33791,0.187308
576.577,0.315712,0.168886,0.321212,0.1943
575.54,0.303269,0.174722,0.306634,0.199924
574.506,0.293215,0.178765,0.294884,0.20378
573.477,0.286359,0.180293,0.286659,0.20516
572.451,0.283068,0.179197,0.28222,0.203964
571.429,0.28328,0.17592,0.281446,0.20063
570.41,0.286734,0.17073,0.284073,0.195356
569.395,0.292922,0.164034,0.289607,0.188454
568.384,0.301232,0.157188,0.297415,0.18134
567.376,0.311438,0.15131,0.307249,0.175234
566.372,0.32313,0.14468,0.318553,0.168014
565.371,0.335865,0.137695,0.330576,0.160033
564.374,0.349271,0.130669,0.342637,0.151615
563.38,0.362618,0.123308,0.353816,0.142416
562.39,0.374298,0.114789,0.362559,0.131536
561.404,0.384882,0.107135,0.369825,0.121569
560.42,0.394178,0.100275,0.375612,0.112554
559.441,0.402124,0.0941366,0.380008,0.104496
558.464,0.408837,0.0887277,0.383254,0.0974516
557.491,0.416873,0.0856774,0.387715,0.093157
556.522,0.423845,0.0828691,0.391305,0.0892952
555.556,0.429759,0.0803262,0.394156,0.0858899
554.593,0.43464,0.0780687,0.396383,0.0829394
553.633,0.438518,0.0761117,0.398067,0.0804251
552.677,0.43769,0.0727012,0.396057,0.0765335
551.724,0.435415,0.0695054,0.393025,0.0729582
550.775,0.432388,0.0667396,0.389473,0.0699147
549.828,0.428738,0.0643245,0.385383,0.0673293
548.885,0.424632,0.0622008,0.380743,0.0651436
547.945,0.421861,0.0610872,0.377176,0.0640674
547.009,0.419484,0.0605111,0.373722,0.0636133
546.075,0.416767,0.0601781,0.369652,0.0634411
545.145,0.413578,0.0601359,0.364947,0.0635507
544.218,0.409746,0.0604135,0.359589,0.0639462
543.294,0.404676,0.0608269,0.353112,0.0644282
542.373,0.398378,0.061392,0.345578,0.0650285
541.455,0.391223,0.0622488,0.337344,0.0659174
540.541,0.383204,0.0633887,0.3284,0.0670968
539.629,0.374308,0.064808,0.318738,0.0685676
538.721,0.365145,0.0668233,0.308918,0.0706728
537.815,0.355921,0.0696396,0.29913,0.0736316
536.913,0.345707,0.0728757,0.288524,0.0770187
536.013,0.334448,0.076567,0.277056,0.0808591
535.117,0.322084,0.0807503,0.264674,0.0851789
534.224,0.308431,0.0854695,0.251211,0.0900126
533.333,0.292996,0.0907856,0.236229,0.0954099
532.446,0.276247,0.0966887,0.220161,0.101369
531.561,0.258225,0.103171,0.203062,0.107888
530.68,0.23905,0.11019,0.185073,0.114932
529.801,0.218896,0.117202,0.166388,0.121926
528.926,0.198366,0.120441,0.147608,0.124926
528.053,0.179028,0.122928,0.130131,0.127129
527.183,0.161578,0.124461,0.114574,0.128317
526.316,0.146662,0.124884,0.101497,0.128332
525.452,0.134796,0.124107,0.0913315,0.127101
524.59,0.125023,0.124903,0.083227,0.127448
523.732,0.118534,0.124674,0.0782047,0.126744
522.876,0.115495,0.123249,0.0763747,0.124858
522.023,0.115757,0.120724,0.077571,0.121922
521.173,0.118964,0.117262,0.0814491,0.118123
520.325,0.124794,0.112766,0.0876869,0.113378
519.481,0.13257,0.107662,0.0956459,0.108115
518.639,0.141631,0.102321,0.104707,0.102697
517.799,0.151462,0.096929,0.114379,0.0973039
516.963,0.161625,0.0916324,0.124249,0.0920742
516.129,0.171854,0.0870331,0.134152,0.0875827
515.298,0.182017,0.0829644,0.143954,0.0836642
514.469,0.191844,0.0790844,0.153359,0.079984
513.644,0.201141,0.0754433,0.162204,0.0765878
512.821,0.209762,0.0720686,0.170372,0.0735031
512,0.216927,0.0683125,0.177125,0.0700912
511.182,0.221914,0.0639108,0.181826,0.0660621
510.367,0.225845,0.0600508,0.185604,0.0625645
509.554,0.228778,0.0566699,0.188512,0.059521
508.744,0.23078,0.053713,0.190605,0.0568602
507.937,0.232562,0.0514761,0.192535,0.0548894
507.132,0.236076,0.0508398,0.196064,0.0545833
506.329,0.238802,0.0503853,0.198899,0.0544165
505.529,0.240753,0.0501235,0.201096,0.0543756
504.732,0.241949,0.0500651,0.202734,0.0544458
503.937,0.242227,0.0501318,0.203733,0.0545074
503.145,0.239667,0.0493841,0.202473,0.0534442
502.355,0.236542,0.0488555,0.200984,0.0524386
501.567,0.232903,0.0485334,0.199321,0.0514675
500.782,0.228809,0.0484099,0.197561,0.0504794
500,0.22449,0.048515,0.196393,0.0488168
499.22,0.220629,0.0493944,0.208109,0.0505183
498.442,0.216143,0.0505375,0.208891,0.0519066
497.667,0.211146,0.0519093,0.207452,0.0534562
496.894,0.205663,0.0535157,0.204555,0.0552046
496.124,0.199698,0.0553552,0.200488,0.0571591
495.356,0.192816,0.0570748,0.194983,0.0589512
494.59,0.185392,0.0587903,0.188529,0.060711
493.827,0.177716,0.0605861,0.181509,0.0625344
493.066,0.169949,0.0624028,0.174153,0.0643661
492.308,0.162314,0.0641684,0.166738,0.06614
491.551,0.154996,0.0660444,0.159481,0.0680275
490.798,0.14829,0.067898,0.152697,0.0699015
490.046,0.142643,0.0694716,0.14683,0.0715103
489.297,0.138465,0.0706699,0.142277,0.0727655
488.55,0.136133,0.0714125,0.139392,0.0735905
487.805,0.136052,0.0714556,0.138559,0.0737389
487.062,0.138477,0.0706769,0.140024,0.0730821
486.322,0.143231,0.0693925,0.143626,0.0719309
485.584,0.15013,0.0676671,0.14921,0.0703398
484.848,0.158876,0.0655865,0.156512,0.0683848
484.115,0.169294,0.0628839,0.165392,0.0657793
483.384,0.181166,0.059077,0.175679,0.0620072
482.655,0.193347,0.0554106,0.18629,0.0583427
481.928,0.205474,0.0519483,0.196896,0.0548526
481.203,0.217264,0.0487296,0.207235,0.0515815
480.48,0.228604,0.0460707,0.217195,0.0488699
479.76,0.240058,0.0450243,0.227277,0.0478491
479.042,0.251197,0.0440172,0.237131,0.0468562
478.326,0.26185,0.0430798,0.246602,0.0459243
477.612,0.271885,0.0422369,0.255566,0.0450811
476.9,0.281204,0.0415081,0.263926,0.0443487
476.19,0.285356,0.0380325,0.267463,0.0406272
475.483,0.288557,0.0350238,0.270083,0.0373936
474.777,0.290909,0.0323973,0.271877,0.0345612
474.074,0.292488,0.0300844,0.27292,0.0320593
473.373,0.293365,0.0280297,0.273282,0.0298304
472.674,0.295812,0.0275022,0.275179,0.0292413
471.976,0.298172,0.0275126,0.277011,0.029223
471.281,0.29968,0.027617,0.278033,0.0292968
470.588,0.300328,0.0278139,0.278237,0.0294607
469.897,0.300112,0.0281012,0.277622,0.0297118
469.208,0.298361,0.0279438,0.275541,0.0294807
468.521,0.295469,0.0274399,0.27239,0.0288776
467.836,0.292091,0.0269706,0.268814,0.0283102
467.153,0.288336,0.0265206,0.264926,0.0277636
466.472,0.284329,0.0260755,0.260853,0.0272237
465.793,0.280294,0.0261472,0.256814,0.0272242
465.116,0.276043,0.0268757,0.252633,0.0279046
464.441,0.271479,0.0276265,0.24823,0.0286032
463.768,0.266775,0.0283833,0.243774,0.0293044
463.097,0.262129,0.029127,0.239453,0.0299899
462.428,0.257787,0.0297936,0.235491,0.0305959
