

Wavelength (nm), Reflectance
800, 0.0924677
798.005, 0.0927793
796.02, 0.092954
794.045, 0.0929836
792.079, 0.09286
790.123, 0.0925849
788.177, 0.092155
786.241, 0.0915686
784.314, 0.0908276
782.396, 0.08994
780.488, 0.0889002
778.589, 0.0877136
776.699, 0.0863873
774.818, 0.0849255
772.947, 0.0831644
771.084, 0.0813024
769.231, 0.0793579
767.386, 0.0773523
765.55, 0.0753102
763.723, 0.0732629
761.905, 0.0712377
760.095, 0.0692677
758.294, 0.0673892
756.501, 0.0656411
754.717, 0.0640668
752.941, 0.0627078
751.174, 0.0616033
749.415, 0.0607736
747.664, 0.0602902
745.921, 0.0602032
744.186, 0.0605535
742.459, 0.0613765
740.741, 0.0627085
739.03, 0.0645819
737.327, 0.0670165
735.632, 0.0700295
733.945, 0.0736466
732.265, 0.0778758
730.594, 0.082718
728.929, 0.0881592
727.273, 0.0941603
725.624, 0.100725
723.982, 0.107827
722.348, 0.115433
720.721, 0.123506
719.101, 0.131983
717.489, 0.14084
715.884, 0.15003
714.286, 0.159502
712.695, 0.169209
711.111, 0.179129
709.534, 0.189188
707.965, 0.199334
706.402, 0.209523
704.846, 0.219711
703.297, 0.229848
701.754, 0.239902
700.219, 0.249842
698.69, 0.259637
697.168, 0.269259
695.652, 0.278683
694.143, 0.287887
692.641, 0.296855
691.145, 0.305571
689.655, 0.31402
688.172, 0.322115
686.695, 0.329808
685.225, 0.337205
683.761, 0.344301
682.303, 0.351094
680.851, 0.357584
679.406, 0.363776
677.966, 0.369662
676.533, 0.375242
675.105, 0.380519
673.684, 0.385497
672.269, 0.390185
670.86, 0.394578
669.456, 0.398679
668.058, 0.402491
666.667, 0.40602
665.281, 0.40927
663.9, 0.412243
662.526, 0.414946
661.157, 0.417382
659.794, 0.419554
658.436, 0.421463
657.084, 0.423117
655.738, 0.424518
654.397, 0.425671
653.061, 0.426578
651.731, 0.427185
650.407, 0.427513
649.087, 0.427605
647.773, 0.427463
646.465, 0.427089
645.161, 0.426489
643.863, 0.425665
642.57, 0.424615
641.283, 0.423343
640, 0.42185
638.723, 0.420139
637.45, 0.41821
636.183, 0.416066
634.921, 0.413718
633.663, 0.411159
632.411, 0.408385
631.164, 0.405388
629.921, 0.402179
628.684, 0.398759
627.451, 0.395131
626.223, 0.391294
625, 0.387269
623.782, 0.383038
622.568, 0.378604
621.359, 0.373967
620.155, 0.369129
618.956, 0.363957
617.761, 0.358555
616.57, 0.352963
615.385, 0.347186
614.203, 0.341227
613.027, 0.335095
611.855, 0.328791
610.687, 0.322319
609.524, 0.315685
608.365, 0.308895
607.211, 0.301958
606.061, 0.29488
604.915, 0.28767
603.774, 0.280335
602.637, 0.272884
601.504, 0.265326
600.375, 0.257667
599.251, 0.249927
598.131, 0.242117
597.015, 0.23425
595.903, 0.226341
594.796, 0.218401
593.692, 0.210449
592.593, 0.202503
591.497, 0.194578
590.406, 0.186694
589.319, 0.179007
588.235, 0.171407
587.156, 0.163911
586.081, 0.156536
585.009, 0.149302
583.942, 0.142233
582.878, 0.135342
581.818, 0.128645
580.762, 0.122159
579.71, 0.115901
578.662, 0.109878
577.617, 0.104113
576.577, 0.0986248
575.54, 0.093428
574.506, 0.0885343
573.477, 0.0839556
572.451, 0.0797017
571.429, 0.0757794
570.41, 0.0721948
569.395, 0.0689522
568.384, 0.0660515
567.376, 0.0634884
566.372, 0.0612676
565.371, 0.0593862
564.374, 0.0578399
563.38, 0.0566297
562.39, 0.0557723
