

Wavelength (nm), Reflectance
800, 0.0304686
798.005, 0.0291137
796.02, 0.0278188
794.045, 0.0265805
792.079, 0.0253998
790.123, 0.0242754
788.177, 0.0232076
786.241, 0.0221966
784.314, 0.0212421
782.396, 0.0203427
780.488, 0.0195005
778.589, 0.0187151
776.699, 0.0179863
774.818, 0.0173127
772.947, 0.0166659
771.084, 0.0160698
769.231, 0.0155237
767.386, 0.0150267
765.55, 0.0145775
763.723, 0.0141757
761.905, 0.0138197
760.095, 0.013508
758.294, 0.0132391
756.501, 0.0130115
754.717, 0.0128217
752.941, 0.0126693
751.174, 0.0125498
749.415, 0.0124425
747.664, 0.0123694
745.921, 0.0123289
744.186, 0.0123194
742.459, 0.0123389
740.741, 0.0123855
739.03, 0.0124575
737.327, 0.012553
735.632, 0.01267
733.945, 0.0128072
732.265, 0.0129632
730.594, 0.0131368
728.929, 0.0133335
727.273, 0.0135699
725.624, 0.013823
723.982, 0.014092
722.348, 0.0143766
720.721, 0.0146764
719.101, 0.0149893
717.489, 0.015318
715.884, 0.0156634
714.286, 0.0160269
712.695, 0.0164101
711.111, 0.0168189
709.534, 0.017253
707.965, 0.0177167
706.402, 0.0182155
704.846, 0.018751
703.297, 0.0193269
701.754, 0.0199487
700.219, 0.0206224
698.69, 0.0213544
697.168, 0.0221514
695.652, 0.0230192
694.143, 0.0239658
692.641, 0.0250012
691.145, 0.0261343
689.655, 0.0273744
688.172, 0.0287251
686.695, 0.0301918
685.225, 0.0317927
683.761, 0.0335383
682.303, 0.035439
680.851, 0.037507
679.406, 0.0397564
677.966, 0.042193
676.533, 0.0448268
675.105, 0.0476675
673.684, 0.0507245
672.269, 0.0540079
670.86, 0.0575236
669.456, 0.0612823
668.058, 0.0652894
666.667, 0.0695442
665.281, 0.0740498
663.9, 0.0788076
662.526, 0.0838168
661.157, 0.0890746
659.794, 0.0945763
658.436, 0.100306
657.084, 0.106262
655.738, 0.112435
654.397, 0.118815
653.061, 0.125384
651.731, 0.132173
650.407, 0.139146
649.087, 0.146252
647.773, 0.153471
646.465, 0.160782
645.161, 0.168164
643.863, 0.175597
642.57, 0.183056
641.283, 0.190517
640, 0.19796
638.723, 0.205362
637.45, 0.212706
636.183, 0.219969
634.921, 0.227116
633.663, 0.234141
632.411, 0.241038
631.164, 0.247796
629.921, 0.254397
628.684, 0.260829
627.451, 0.267082
626.223, 0.273147
625, 0.27902
623.782, 0.284691
622.568, 0.290154
621.359, 0.295404
620.155, 0.300437
618.956, 0.305141
617.761, 0.309585
616.57, 0.313796
615.385, 0.317774
614.203, 0.321516
613.027, 0.325029
611.855, 0.328309
610.687, 0.331355
609.524, 0.334169
608.365, 0.33675
607.211, 0.339094
606.061, 0.341206
604.915, 0.34309
603.774, 0.344748
602.637, 0.346184
601.504, 0.347401
600.375, 0.348404
599.251, 0.349188
598.131, 0.349757
597.015, 0.350112
595.903, 0.350255
594.796, 0.350187
593.692, 0.349912
592.593, 0.349432
591.497, 0.348748
590.406, 0.347864
589.319, 0.346785
588.235, 0.345509
587.156, 0.344038
586.081, 0.342375
585.009, 0.340522
583.942, 0.338489
582.878, 0.336273
581.818, 0.333874
580.762, 0.331295
579.71, 0.328538
578.662, 0.325595
577.617, 0.322471
576.577, 0.319175
575.54, 0.31571
574.506, 0.312078
573.477, 0.308278
572.451, 0.304312
571.429, 0.300189
570.41, 0.295911
569.395, 0.291482
568.384, 0.286915
567.376, 0.282228
566.372, 0.277401
565.371, 0.272437
564.374, 0.267341
563.38, 0.26208
562.39, 0.256533
561.404, 0.250873
560.42, 0.245108
559.441, 0.239241
558.464, 0.233282
557.491, 0.227287
556.522, 0.22121
555.556, 0.215058
554.593, 0.208838
553.633, 0.202559
552.677, 0.196162
551.724, 0.189712
550.775, 0.183227
549.828, 0.176717
548.885, 0.170191
547.945, 0.163694
547.009, 0.157213
546.075, 0.150745
545.145, 0.144295
544.218, 0.137878
543.294, 0.131496
542.373, 0.125162
541.455, 0.118892
540.541, 0.112699
539.629, 0.106592
538.721, 0.100608
537.815, 0.0947723
536.913, 0.0890545
536.013, 0.083465
535.117, 0.0780138
534.224, 0.0727098
533.333, 0.0675603
532.446, 0.0625772
531.561, 0.057769
530.68, 0.0531439
529.801, 0.048707
528.926, 0.0444483
528.053, 0.0403973
527.183, 0.0365597
526.316, 0.0329407
525.452, 0.0295447
524.59, 0.0263831
523.732, 0.0234497
522.876, 0.0207457
522.023, 0.0182725
521.173, 0.0160305
520.325, 0.0140182
519.481, 0.0122352
518.639, 0.0106797
517.799, 0.00934899
516.963, 0.0082393
516.129, 0.00734318
515.298, 0.00666367
514.469, 0.00619911
513.644, 0.00594209
512.821, 0.00588462
512, 0.00601964
511.182, 0.00634042
510.367, 0.00683534
509.554, 0.00749433
508.744, 0.00830697
507.937, 0.00926069
507.132, 0.0103368
506.329, 0.0115331
505.529, 0.0128386
504.732, 0.0142425
503.937, 0.0157347
503.145, 0.0173126
502.355, 0.0189563
501.567, 0.0206548
500.782, 0.0223974
500, 0.0241735
499.22, 0.0259689
498.442, 0.0277771
497.667, 0.0295889
496.894, 0.0313949
496.124, 0.0331857
495.356, 0.0349228
494.59, 0.0366128
493.827, 0.0382574
493.066, 0.0398492
492.308, 0.0413808
491.551, 0.0428456
490.798, 0.0442372
490.046, 0.0455495
489.297, 0.0467767
488.55, 0.0479136
487.805, 0.0489557
487.062, 0.0498986
486.322, 0.0507375
485.584, 0.0514686
484.848, 0.0520887
484.115, 0.0525955
483.384, 0.0529866
482.655, 0.0532586
481.928, 0.0534103
481.203, 0.0534406
480.48, 0.0533509
479.76, 0.0531502
479.042, 0.0528309
478.326, 0.0523941
477.612, 0.0518415
476.9, 0.0511755
476.19, 0.0503534
475.483, 0.0494244
474.777, 0.0483936
474.074, 0.0472662
473.373, 0.0460481
472.674, 0.0447838
471.976, 0.0434569
471.281, 0.0420627
470.588, 0.0406095
469.897, 0.0391059
469.208, 0.0375472
468.521, 0.0359465
467.836, 0.0343255
467.153, 0.0326932
466.472, 0.0310644
465.793, 0.0294659
465.116, 0.0279127
464.441, 0.0264009
463.768, 0.0249442
463.097, 0.0235564
462.428, 0.022251
461.76, 0.0210411
461.095, 0.0199431
460.432, 0.0189714
459.77, 0.0181398
459.11, 0.0174616
458.453, 0.0169487
457.797, 0.0166151
457.143, 0.0164726
456.491, 0.0165316
455.84, 0.0168017
455.192, 0.0172887
454.545, 0.0180017
453.901, 0.018946
453.258, 0.0201252
452.617, 0.0215411
451.977, 0.0232012
451.34, 0.0251023
450.704, 0.0272393
450.07, 0.029606
449.438, 0.0321946
448.808, 0.0349767
448.179, 0.0379441
447.552, 0.0410941
446.927, 0.0444121
