

lambda(m), Y
8e-07, 0.286985
7.98005e-07, 0.315652
7.9602e-07, 0.389746
7.94045e-07, 0.303165
7.92079e-07, 0.30223
7.90123e-07, 0.38652
7.88177e-07, 0.31804
7.86241e-07, 0.293264
7.84314e-07, 0.380953
7.82396e-07, 0.33057
7.80488e-07, 0.288472
7.78589e-07, 0.374169
7.76699e-07, 0.340418
7.74818e-07, 0.287097
7.72947e-07, 0.367086
7.71084e-07, 0.347678
7.69231e-07, 0.288195
7.67386e-07, 0.360387
7.6555e-07, 0.352664
7.63723e-07, 0.290854
7.61905e-07, 0.354528
7.60095e-07, 0.355776
7.58294e-07, 0.29432
7.56501e-07, 0.349759
7.54717e-07, 0.357421
7.52941e-07, 0.298042
7.51174e-07, 0.346168
7.49415e-07, 0.357958
7.47664e-07, 0.301661
7.45921e-07, 0.343724
7.44186e-07, 0.357686
7.42459e-07, 0.304981
7.40741e-07, 0.342325
7.3903e-07, 0.356831
7.37327e-07, 0.307928
7.35632e-07, 0.341828
7.33945e-07, 0.355553
7.32265e-07, 0.310514
7.30594e-07, 0.342075
7.28929e-07, 0.353957
7.27273e-07, 0.312812
7.25624e-07, 0.342903
7.23982e-07, 0.352102
7.22348e-07, 0.314931
7.20721e-07, 0.34415
7.19101e-07, 0.350024
7.17489e-07, 0.317002
7.15884e-07, 0.345654
7.14286e-07, 0.347746
7.12695e-07, 0.319162
7.11111e-07, 0.347249
7.09534e-07, 0.345301
7.07965e-07, 0.321539
7.06402e-07, 0.348763
7.04846e-07, 0.342747
7.03297e-07, 0.324233
7.01754e-07, 0.350022
7.00219e-07, 0.340183
6.9869e-07, 0.327301
6.97168e-07, 0.350855
6.95652e-07, 0.337759
6.94143e-07, 0.330732
6.92641e-07, 0.351109
6.91145e-07, 0.335675
6.89655e-07, 0.334433
6.88172e-07, 0.350677
6.86695e-07, 0.334168
6.85225e-07, 0.338222
6.83761e-07, 0.349527
6.82303e-07, 0.333478
6.80851e-07, 0.341835
6.79406e-07, 0.347734
6.77966e-07, 0.333788
6.76533e-07, 0.344957
6.75105e-07, 0.345507
6.73684e-07, 0.335164
6.72269e-07, 0.347274
6.7086e-07, 0.343193
6.69456e-07, 0.337495
6.68058e-07, 0.348544
6.66667e-07, 0.341234
6.65281e-07, 0.340465
6.639e-07, 0.348679
6.62526e-07, 0.340086
6.61157e-07, 0.343592
6.59794e-07, 0.347816
6.58436e-07, 0.340075
6.57084e-07, 0.346315
6.55738e-07, 0.346339
6.54397e-07, 0.34127
6.53061e-07, 0.348149
6.51731e-07, 0.344833
6.50407e-07, 0.343397
6.49087e-07, 0.348842
6.47773e-07, 0.343922
6.46465e-07, 0.345886
6.45161e-07, 0.348498
6.43863e-07, 0.34405
6.4257e-07, 0.348054
6.41283e-07, 0.347585
6.4e-07, 0.345265
6.38723e-07, 0.349362
6.3745e-07, 0.34679
6.36183e-07, 0.347169
6.34921e-07, 0.349662
6.33663e-07, 0.346727
6.32411e-07, 0.349075
6.31164e-07, 0.349279
6.29921e-07, 0.347618
6.28684e-07, 0.350361
