lambda_nm,Rs,Ts,Rp,Tp
800,0.37962,0.145556,0.412804,0.221878
798.005,0.452023,0.121662,0.467035,0.180829
796.02,0.388668,0.135077,0.402149,0.177786
794.045,0.264742,0.180682,0.327227,0.222947
792.079,0.116213,0.240002,0.163461,0.30622
790.123,0.134589,0.235819,0.162927,0.334333
788.177,0.304439,0.182176,0.310825,0.282752
786.241,0.388337,0.159139,0.402912,0.239057
784.314,0.41033,0.14883,0.422132,0.203606
782.396,0.353427,0.167602,0.360713,0.249826
780.488,0.195159,0.223796,0.215938,0.293022
778.589,0.0914467,0.257546,0.101652,0.306226
776.699,0.218276,0.206696,0.207726,0.274602
774.818,0.345894,0.158529,0.341394,0.215198
772.947,0.400724,0.131458,0.400139,0.185266
771.084,0.392028,0.128987,0.396892,0.177835
769.231,0.286254,0.151922,0.332096,0.201741
767.386,0.151877,0.210419,0.202214,0.240783
765.55,0.134595,0.219284,0.151497,0.254818
763.723,0.265799,0.170584,0.268769,0.202453
761.905,0.374773,0.131216,0.371365,0.166519
760.095,0.401981,0.10826,0.401467,0.152998
758.294,0.347293,0.121333,0.372976,0.152749
756.501,0.236923,0.15535,0.267173,0.173801
754.717,0.143754,0.191067,0.140524,0.20213
752.941,0.200503,0.180873,0.168931,0.18896
751.174,0.325226,0.146663,0.294702,0.151619
749.415,0.394812,0.123123,0.373247,0.122924
747.664,0.385821,0.117798,0.381725,0.115589
745.921,0.321947,0.134147,0.305388,0.135333
744.186,0.198531,0.164345,0.182551,0.169517
742.459,0.165332,0.168026,0.138044,0.179187
740.741,0.263809,0.143151,0.240158,0.144126
739.03,0.343897,0.118363,0.346597,0.109889
737.327,0.36591,0.112066,0.371998,0.109759
735.632,0.32959,0.112036,0.333339,0.12825
733.945,0.241717,0.135684,0.242355,0.152468
732.265,0.166308,0.160499,0.143632,0.182331
730.594,0.220506,0.15752,0.189931,0.187268
728.929,0.309763,0.135618,0.305546,0.163028
727.273,0.354611,0.117221,0.366427,0.147508
