wavelength_nm,R,T,A
4.000000000000000000e+02,2.082288615121296871e-01,2.481123020435798250e-64,7.917711384878702852e-01
4.010000000000000000e+02,2.075625605902544912e-01,9.822422391514182702e-63,7.924374394097455365e-01
4.020000000000000000e+02,2.068932687940125970e-01,3.818168396948029865e-61,7.931067312059874030e-01
4.030000000000000000e+02,2.062117782743367600e-01,1.457544693630515158e-59,7.937882217256632122e-01
4.039999999999999432e+02,2.055261790419108392e-01,5.464785487241617655e-58,7.944738209580891608e-01
4.050000000000000000e+02,2.048374093799625317e-01,2.012640668960608603e-56,7.951625906200374683e-01
4.059999999999999432e+02,2.041453964336157334e-01,7.282134397741236295e-55,7.958546035663842666e-01
4.070000000000000000e+02,2.034500728683318049e-01,2.588852598394373459e-53,7.965499271316681673e-01
4.080000000000000000e+02,2.027513768687417284e-01,9.044164505757098459e-52,7.972486231312583271e-01
4.089999999999999432e+02,2.020492521404888275e-01,3.105259030934920581e-50,7.979507478595111447e-01
4.100000000000000000e+02,2.013436479151701486e-01,1.047974399791642474e-48,7.986563520848298792e-01
4.109999999999999432e+02,2.006345189584365918e-01,3.476815487830342519e-47,7.993654810415633527e-01
4.120000000000000000e+02,1.999218255813451917e-01,1.134083103745834743e-45,8.000781744186548083e-01
4.130000000000000000e+02,1.992055336550292710e-01,3.637424552009100366e-44,8.007944663449707567e-01
4.140000000000000000e+02,1.988107062679748960e-01,3.969895413175433074e-43,8.011892937320250763e-01
4.150000000000000000e+02,1.985514160075277645e-01,2.720937500128841835e-42,8.014485839924722077e-01
4.159999999999999432e+02,1.982882391195854299e-01,1.847774854900031122e-41,8.017117608804145146e-01
4.170000000000000000e+02,1.980210980536994125e-01,1.243367316610398117e-40,8.019789019463006152e-01
4.179999999999999432e+02,1.977499182617694917e-01,8.290837315769609902e-40,8.022500817382305360e-01
4.190000000000000000e+02,1.974746281498348521e-01,5.478658881356732898e-39,8.025253718501651479e-01
4.200000000000000000e+02,1.971951590312063796e-01,3.588022412205556024e-38,8.028048409687935649e-01
4.209999999999999432e+02,1.969083628464775027e-01,2.329005689370526457e-37,8.030916371535224973e-01
4.220000000000000000e+02,1.966126808566198148e-01,1.498472714553238958e-36,8.033873191433802408e-01
4.229999999999999432e+02,1.963126963339525966e-01,9.556850847592717777e-36,8.036873036660474590e-01
4.240000000000000000e+02,1.960083526345873517e-01,6.042205609097742089e-35,8.039916473654126206e-01
4.249999999999999432e+02,1.956995957823274013e-01,3.787195309344773091e-34,8.043004042176725710e-01
4.260000000000000000e+02,1.953863744308745876e-01,2.353466131784817624e-33,8.046136255691254124e-01
4.270000000000000000e+02,1.950686398273660804e-01,1.450081915745838923e-32,8.049313601726338918e-01
4.279999999999999432e+02,1.948977539638370726e-01,6.188717391557832210e-32,8.051022460361629829e-01
4.290000000000000000e+02,1.948740071912989924e-01,1.834193288334134550e-31,8.051259928087010076e-01
4.299999999999999432e+02,1.948460523193041860e-01,5.408815694358055312e-31,8.051539476806958140e-01
4.310000000000000000e+02,1.948138391466796293e-01,1.587037469823892500e-30,8.051861608533203984e-01
4.319999999999999432e+02,1.947773193382551782e-01,4.633564683945741653e-30,8.052226806617448496e-01
4.330000000000000000e+02,1.947364463835765946e-01,1.346174405000823415e-29,8.052635536164234331e-01
4.340000000000000000e+02,1.946911755565814695e-01,3.891888016008530634e-29,8.053088244434185583e-01
4.349999999999999432e+02,1.946414638762136995e-01,1.119713644879024999e-28,8.053585361237862728e-01
4.360000000000000000e+02,1.945872700679701361e-01,3.205943167892589468e-28,8.054127299320298361e-01
4.369999999999999432e+02,1.945285545263673310e-01,9.135268839971345560e-28,8.054714454736326967e-01
4.380000000000000000e+02,1.944652792783170547e-01,2.590704198104216212e-27,8.055347207216829730e-01
4.389999999999999432e+02,1.943974079473955729e-01,7.312392509096888311e-27,8.056025920526044271e-01
4.399999999999999432e+02,1.943201949736533263e-01,2.054295562677536639e-26,8.056798050263467292e-01
4.410000000000000000e+02,1.942371860954760499e-01,5.744339867380901194e-26,8.057628139045239779e-01
4.419999999999999432e+02,1.941495325763946678e-01,1.598837248315436464e-25,8.058504674236053322e-01
4.430000000000000000e+02,1.941015538619498826e-01,4.251108858541670919e-25,8.058984461380500619e-01
4.440000000000000000e+02,1.942266671933814137e-01,9.549647316284819543e-25,8.057733328066185585e-01
4.450000000000000000e+02,1.943477114813519091e-01,2.137460716923976856e-24,8.056522885186481187e-01
4.460000000000000000e+02,1.944646597628979789e-01,4.767001404986098518e-24,8.055353402371020488e-01
4.469999999999999432e+02,1.945774862864201593e-01,1.059349528631619491e-23,8.054225137135798684e-01
4.480000000000000000e+02,1.946861664819444782e-01,2.345797781926614426e-23,8.053138335180555218e-01
4.489999999999999432e+02,1.947906769320742193e-01,5.176181586744370065e-23,8.052093230679258085e-01
4.500000000000000000e+02,1.948909953436217535e-01,1.138167878099753377e-22,8.051090046563782465e-01
