wavelength_nm,R,T
5.000000000000000000e+02,1.791859281981841301e-01,8.208140718018153148e-01
5.500000000000000000e+02,1.651556917776836331e-01,8.348443082223153677e-01
6.000000000000000000e+02,2.837310301112360711e-01,7.162689698887647616e-01
6.500000000000000000e+02,1.431329286978858806e-01,8.568670713021131480e-01
7.000000000000001137e+02,2.037747781934007019e-01,7.962252218065983822e-01
7.500000000000000000e+02,5.217736557255466673e-02,9.478226344274460757e-01
8.000000000000001137e+02,1.167209434970502280e-01,8.832790565029479124e-01
8.500000000000001137e+02,5.745363642915006785e-01,4.254636357085024301e-01
9.000000000000001137e+02,3.115762667733652513e-01,6.884237332266356368e-01
9.500000000000000000e+02,3.208330682940083722e-01,6.791669317059890743e-01
1.000000000000000114e+03,2.772446422082753825e-01,7.227553577917223970e-01
1.050000000000000000e+03,5.577695470542148870e-01,4.422304529457726785e-01
1.100000000000000000e+03,4.805348436159768144e-01,5.194651563840263497e-01
1.150000000000000000e+03,5.265800677084677694e-01,4.734199322915343400e-01
1.200000000000000227e+03,4.648651185706703104e-01,5.351348814293301892e-01
1.250000000000000000e+03,3.822863711415924737e-01,6.177136288584071933e-01
1.300000000000000227e+03,2.979262357457846955e-01,7.020737642542157486e-01
1.350000000000000227e+03,2.178246094671901778e-01,7.821753905328101553e-01
1.400000000000000227e+03,1.465339641597763476e-01,8.534660358402287317e-01
1.450000000000000000e+03,8.917913414818851026e-02,9.108208658518134326e-01
1.500000000000000000e+03,4.863479294977499784e-02,9.513652070502268687e-01
