wavelength_nm,R,T
5.000000000000000000e+02,1.596168579049046798e-01,8.403831420950961251e-01
5.500000000000000000e+02,3.672560521460163652e-02,9.632743947853974475e-01
6.000000000000000000e+02,1.255560338007704890e-01,8.744439661992289281e-01
6.500000000000000000e+02,1.299576877486318671e-01,8.700423122513685215e-01
7.000000000000001137e+02,1.094068652437106687e-01,8.905931347562878742e-01
7.500000000000000000e+02,3.232470670661720391e-02,9.676752932933829765e-01
8.000000000000001137e+02,5.330456817412181358e-01,4.669543182587816976e-01
8.500000000000001137e+02,7.397712277362405997e-01,2.602287722637566247e-01
9.000000000000001137e+02,8.091687740169635212e-01,1.908312259830383661e-01
9.500000000000000000e+02,4.134819250672179813e-01,5.865180749327811860e-01
1.000000000000000114e+03,4.701200751100385045e-01,5.298799248899620506e-01
1.050000000000000000e+03,3.802595352275758289e-01,6.197404647724241711e-01
1.100000000000000000e+03,2.586595496731733390e-01,7.413404503268293810e-01
1.150000000000000000e+03,1.575723210856025125e-01,8.424276789143977373e-01
1.200000000000000227e+03,8.738566030778940896e-02,9.126143396922112849e-01
1.250000000000000000e+03,4.355494312668715257e-02,9.564450568733139368e-01
1.300000000000000227e+03,1.851931224138785720e-02,9.814806877586121914e-01
1.350000000000000227e+03,5.809233364846066137e-03,9.941907666351533779e-01
1.400000000000000227e+03,7.907677104574059590e-04,9.992092322895420597e-01
1.450000000000000000e+03,3.815792544023463573e-04,9.996184207455982573e-01
1.500000000000000000e+03,2.604103564151615587e-03,9.973958964358483614e-01
