wavelength_m,bottom_cd_m,sidewall_angle_deg,R,T
7.999999999999999638e-07,2.999999999999999864e-07,0.000000000000000000e+00,3.131716065690245410e-01,6.868283934309747929e-01
8.199999999999999841e-07,2.999999999999999864e-07,0.000000000000000000e+00,3.812278906377434828e-01,6.187721093622572388e-01
8.400000000000000043e-07,2.999999999999999864e-07,0.000000000000000000e+00,3.560690994876711257e-01,6.439309005123283747e-01
8.600000000000000246e-07,2.999999999999999864e-07,0.000000000000000000e+00,2.091870511321776427e-01,7.908129488678238284e-01
8.799999999999999390e-07,2.999999999999999864e-07,0.000000000000000000e+00,3.774569553461337712e-03,9.962254304465374410e-01
8.999999999999999593e-07,2.999999999999999864e-07,0.000000000000000000e+00,9.608354070371591948e-01,3.916459296283305441e-02
9.199999999999999795e-07,2.999999999999999864e-07,0.000000000000000000e+00,7.529560019349681443e-01,2.470439980650314116e-01
9.399999999999999998e-07,2.999999999999999864e-07,0.000000000000000000e+00,3.740470605698538731e-01,6.259529394301441840e-01
9.599999999999999142e-07,2.999999999999999864e-07,0.000000000000000000e+00,1.124498791434262457e-01,8.875501208565754752e-01
9.799999999999999345e-07,2.999999999999999864e-07,0.000000000000000000e+00,7.609929044187106750e-03,9.923900709558116651e-01
9.999999999999999547e-07,2.999999999999999864e-07,0.000000000000000000e+00,8.721701954783490224e-03,9.912782980452170545e-01
1.019999999999999975e-06,2.999999999999999864e-07,0.000000000000000000e+00,3.910459401480302633e-02,9.608954059851947394e-01
1.039999999999999995e-06,2.999999999999999864e-07,0.000000000000000000e+00,5.129921477946043640e-02,9.487007852205391334e-01
1.060000000000000016e-06,2.999999999999999864e-07,0.000000000000000000e+00,2.583717578614245711e-02,9.741628242138569149e-01
1.080000000000000036e-06,2.999999999999999864e-07,0.000000000000000000e+00,6.987625649330531097e-03,9.930123743506694689e-01
1.100000000000000056e-06,2.999999999999999864e-07,0.000000000000000000e+00,4.142556313746214580e-01,5.857443686253760440e-01
1.119999999999999865e-06,2.999999999999999864e-07,0.000000000000000000e+00,9.822904344815609479e-01,1.770956551843683169e-02
1.140000000000000097e-06,2.999999999999999864e-07,0.000000000000000000e+00,9.415161951319719336e-01,5.848380486802728928e-02
1.159999999999999905e-06,2.999999999999999864e-07,0.000000000000000000e+00,8.262329958490861603e-01,1.737670041509119523e-01
1.179999999999999925e-06,2.999999999999999864e-07,0.000000000000000000e+00,7.291816288307920724e-01,2.708183711692092044e-01
1.199999999999999946e-06,2.999999999999999864e-07,0.000000000000000000e+00,6.431602479263704986e-01,3.568397520736310558e-01
7.999999999999999638e-07,1.999999999999999909e-07,6.203447901691835575e+00,5.699105671091144742e-01,4.300894328908816955e-01
8.199999999999999841e-07,1.999999999999999909e-07,6.203447901691835575e+00,7.293249537650932091e-01,2.706750462349083453e-01
8.400000000000000043e-07,1.999999999999999909e-07,6.203447901691835575e+00,8.531406715457776624e-01,1.468593284542213384e-01
8.600000000000000246e-07,1.999999999999999909e-07,6.203447901691835575e+00,9.465577324694383066e-01,5.344226753056090934e-02
8.799999999999999390e-07,1.999999999999999909e-07,6.203447901691835575e+00,9.988011648355886729e-01,1.198835164412365324e-03
8.999999999999999593e-07,1.999999999999999909e-07,6.203447901691835575e+00,9.439420349650186060e-01,5.605796503498364225e-02
9.199999999999999795e-07,1.999999999999999909e-07,6.203447901691835575e+00,6.969874283782555580e-01,3.030125716217412779e-01
9.399999999999999998e-07,1.999999999999999909e-07,6.203447901691835575e+00,3.989651686315204282e-01,6.010348313684786836e-01
9.599999999999999142e-07,1.999999999999999909e-07,6.203447901691835575e+00,2.525482500984425616e-01,7.474517499015637112e-01
