wavelength_nm,R
4.000000000000000000e+02,3.710470876747132829e-01
4.010000000000000000e+02,3.691383903996138804e-01
4.020000000000000000e+02,3.669560523632178772e-01
4.030000000000000000e+02,3.645117655416210689e-01
4.039999999999999432e+02,3.618084105851191445e-01
4.050000000000000000e+02,3.588397282217647422e-01
4.059999999999999432e+02,3.556286602369303496e-01
4.070000000000000000e+02,3.521755062049669593e-01
4.080000000000000000e+02,3.484864308978456449e-01
4.089999999999999432e+02,3.445661329532541672e-01
4.100000000000000000e+02,3.404416697628566690e-01
4.109999999999999432e+02,3.361337927673531678e-01
4.120000000000000000e+02,3.316657260123649920e-01
4.130000000000000000e+02,3.270664243348153088e-01
4.140000000000000000e+02,3.225821734692039255e-01
4.150000000000000000e+02,3.181935498866120815e-01
4.159999999999999432e+02,3.138728619957308896e-01
4.170000000000000000e+02,3.096613587776402832e-01
4.179999999999999432e+02,3.056000733608636444e-01
4.190000000000000000e+02,3.017308078676350647e-01
4.200000000000000000e+02,2.980817413523019765e-01
4.209999999999999432e+02,2.947164824359045365e-01
4.220000000000000000e+02,2.916754260802552068e-01
4.229999999999999432e+02,2.889955207954937877e-01
4.240000000000000000e+02,2.867272576730232614e-01
4.249999999999999432e+02,2.849073816028412365e-01
4.260000000000000000e+02,2.835647639725495939e-01
4.270000000000000000e+02,2.827302690337243907e-01
4.279999999999999432e+02,2.824205135993040905e-01
4.290000000000000000e+02,2.826560679405002996e-01
4.299999999999999432e+02,2.834602830328777912e-01
4.310000000000000000e+02,2.848394541119919632e-01
4.319999999999999432e+02,2.867953769557035626e-01
4.330000000000000000e+02,2.893249225745764819e-01
4.340000000000000000e+02,2.923921226583872657e-01
4.349999999999999432e+02,2.959754386415160976e-01
4.360000000000000000e+02,3.000747338585181279e-01
4.369999999999999432e+02,3.046899996937490473e-01
4.380000000000000000e+02,3.098089183624214149e-01
4.389999999999999432e+02,3.153526086509929605e-01
4.399999999999999432e+02,3.212641291084408213e-01
4.410000000000000000e+02,3.274782714236553205e-01
4.419999999999999432e+02,3.339802216325564732e-01
4.430000000000000000e+02,3.406969579856529706e-01
4.440000000000000000e+02,3.474551736290165116e-01
4.450000000000000000e+02,3.542625835670519807e-01
4.460000000000000000e+02,3.610756774315960205e-01
4.469999999999999432e+02,3.677689645071344215e-01
4.480000000000000000e+02,3.743902806578061071e-01
4.489999999999999432e+02,3.809049649210707877e-01
4.500000000000000000e+02,3.873579739927988097e-01
4.510000000000000000e+02,3.936591379556915182e-01
4.519999999999999432e+02,3.997611404926602052e-01
4.530000000000000000e+02,4.056093175413906793e-01
4.539999999999999432e+02,4.111870732185835542e-01
4.550000000000000000e+02,4.165065389983233501e-01
4.559999999999999432e+02,4.215523004659286754e-01
4.570000000000000000e+02,4.263153555319169064e-01
4.580000000000000000e+02,4.307767938615389980e-01
4.589999999999999432e+02,4.349251904098033195e-01
4.600000000000000000e+02,4.387581853545248212e-01
