wavelength_nm,R
4.000000000000000000e+02,3.665626581467170131e-01
4.010000000000000000e+02,3.806553889343252117e-01
4.020000000000000000e+02,3.945350483725920121e-01
4.030000000000000000e+02,4.081536728033944850e-01
4.039999999999999432e+02,4.214712196248255327e-01
4.050000000000000000e+02,4.344549097278506689e-01
4.059999999999999432e+02,4.470785402757956883e-01
4.070000000000000000e+02,4.593311685497605268e-01
4.080000000000000000e+02,4.711993658268723295e-01
4.089999999999999432e+02,4.826602773429248261e-01
4.100000000000000000e+02,4.937072850222827269e-01
4.109999999999999432e+02,5.043371796375094585e-01
4.120000000000000000e+02,5.145496440517175474e-01
4.130000000000000000e+02,5.243467866410514988e-01
4.140000000000000000e+02,5.336390887184822018e-01
4.150000000000000000e+02,5.424816078257226337e-01
4.159999999999999432e+02,5.509278870576875820e-01
4.170000000000000000e+02,5.589860094793026590e-01
4.179999999999999432e+02,5.666648254301428489e-01
4.190000000000000000e+02,5.739737445821759820e-01
4.200000000000000000e+02,5.809225587889951248e-01
4.209999999999999432e+02,5.875099193678379184e-01
4.220000000000000000e+02,5.937514687840010907e-01
4.229999999999999432e+02,5.996631973111479219e-01
4.240000000000000000e+02,6.052551510708642502e-01
4.249999999999999432e+02,6.105372198722022192e-01
4.260000000000000000e+02,6.154896737195046930e-01
4.270000000000000000e+02,6.201554218686621267e-01
4.279999999999999432e+02,6.245632365096998040e-01
4.290000000000000000e+02,6.287298250645720898e-01
4.299999999999999432e+02,6.326347476679742288e-01
4.310000000000000000e+02,6.362860265403573745e-01
4.319999999999999432e+02,6.396913325805522188e-01
4.330000000000000000e+02,6.428579805976157857e-01
4.340000000000000000e+02,6.457929278547828167e-01
4.349999999999999432e+02,6.485027753205412360e-01
4.360000000000000000e+02,6.510212347658150822e-01
4.369999999999999432e+02,6.533249319445627590e-01
4.380000000000000000e+02,6.554179518449988473e-01
4.389999999999999432e+02,6.573056373037553524e-01
4.399999999999999432e+02,6.589929964898620929e-01
4.410000000000000000e+02,6.604769097368098363e-01
4.419999999999999432e+02,6.617751716766880898e-01
4.430000000000000000e+02,6.628956549042313018e-01
4.440000000000000000e+02,6.638621113478898605e-01
4.450000000000000000e+02,6.646535195547100816e-01
4.460000000000000000e+02,6.652701680707160392e-01
4.469999999999999432e+02,6.657152076874294222e-01
4.480000000000000000e+02,6.659913392261540555e-01
4.489999999999999432e+02,6.661010261607925864e-01
4.500000000000000000e+02,6.660465045633034986e-01
4.510000000000000000e+02,6.658291205084142517e-01
4.519999999999999432e+02,6.654446296407029449e-01
4.530000000000000000e+02,6.649014976920432085e-01
4.539999999999999432e+02,6.642011406569229282e-01
4.550000000000000000e+02,6.633447961401891524e-01
4.559999999999999432e+02,6.623335329785581260e-01
4.570000000000000000e+02,6.611682609094940988e-01
4.580000000000000000e+02,6.598497403291243568e-01
4.589999999999999432e+02,6.583785921850032752e-01
4.600000000000000000e+02,6.567238907160750649e-01
4.609999999999999432e+02,6.549284131823055466e-01
4.620000000000000000e+02,6.529842737635764838e-01
4.629999999999999432e+02,6.508916145529060060e-01
4.640000000000000000e+02,6.486504951474391101e-01
4.650000000000000000e+02,6.462609039395879051e-01
4.659999999999999432e+02,6.436949099963737986e-01
4.670000000000000000e+02,6.409777460985921493e-01
4.679999999999999432e+02,6.381086171557046605e-01
4.690000000000000000e+02,6.350805650684484549e-01
4.699999999999999432e+02,6.319004907255724168e-01
4.709999999999999432e+02,6.286024185442354861e-01
4.720000000000000000e+02,6.251545381137610935e-01
4.729999999999999432e+02,6.215567494186176045e-01
4.740000000000000000e+02,6.178090154790251143e-01
4.749999999999999432e+02,6.139113820313660819e-01
4.760000000000000000e+02,6.098639984145557413e-01
4.769999999999999432e+02,6.056696586837772012e-01
4.779999999999998863e+02,6.013549554611593573e-01
4.790000000000000000e+02,5.968912930229796077e-01
4.799999999999999432e+02,5.922794895446700236e-01
4.809999999999999432e+02,5.875205919707924274e-01
4.820000000000000000e+02,5.826159053784670805e-01
4.829999999999999432e+02,5.775670237500478699e-01
4.839999999999999432e+02,5.723758621147281289e-01
4.850000000000000000e+02,5.670446899926113726e-01
4.860000000000000000e+02,5.615761660448786996e-01
4.869999999999999432e+02,5.559466114280890991e-01
4.880000000000000568e+02,5.501755940243220344e-01
4.890000000000000000e+02,5.442769472457023028e-01
4.899999999999999432e+02,5.382552820346252487e-01
4.909999999999999432e+02,5.321157905613590478e-01
4.920000000000000000e+02,5.258642843598847483e-01
4.930000000000000000e+02,5.195072317970725884e-01
4.939999999999999432e+02,5.130517943877498377e-01
4.949999999999999432e+02,5.065058614058517428e-01
4.960000000000000000e+02,4.998780821790228535e-01
4.969999999999999432e+02,4.930705988157371156e-01
4.979999999999999432e+02,4.861996165153512628e-01
4.990000000000000000e+02,4.792763592546515072e-01
