wavelength_nm,R
4.000000000000000000e+02,3.527527055956820035e-01
4.010000000000000000e+02,3.613556532848430369e-01
4.020000000000000000e+02,3.697252039608500129e-01
4.030000000000000000e+02,3.779547403995262567e-01
4.039999999999999432e+02,3.860255378592386544e-01
4.050000000000000000e+02,3.938047868711143651e-01
4.059999999999999432e+02,4.012415155902915864e-01
4.070000000000000000e+02,4.083562348496460048e-01
4.080000000000000000e+02,4.152007505739398474e-01
4.089999999999999432e+02,4.219165643899036588e-01
4.100000000000000000e+02,4.283059760798408888e-01
4.109999999999999432e+02,4.344349922524330387e-01
4.120000000000000000e+02,4.403040868330759805e-01
4.130000000000000000e+02,4.458474899929902313e-01
4.140000000000000000e+02,4.511255679200998348e-01
4.150000000000000000e+02,4.561098955306286395e-01
4.159999999999999432e+02,4.607795431586212964e-01
4.170000000000000000e+02,4.652021278678077909e-01
4.179999999999999432e+02,4.693266702189794470e-01
4.190000000000000000e+02,4.731618382629870223e-01
4.200000000000000000e+02,4.767991196274422028e-01
4.209999999999999432e+02,4.801447624856981511e-01
4.220000000000000000e+02,4.832321556445731137e-01
4.229999999999999432e+02,4.861041602196687350e-01
4.240000000000000000e+02,4.886998135033507884e-01
4.249999999999999432e+02,4.910316710772064108e-01
4.260000000000000000e+02,4.930883094033279845e-01
4.270000000000000000e+02,4.948895459698529065e-01
4.279999999999999432e+02,4.964956544744055789e-01
4.290000000000000000e+02,4.979110969125610242e-01
4.299999999999999432e+02,4.990843577197822123e-01
4.310000000000000000e+02,5.000315151049986584e-01
4.319999999999999432e+02,5.007565033497854978e-01
4.330000000000000000e+02,5.012509921877533747e-01
4.340000000000000000e+02,5.015748885603878993e-01
4.349999999999999432e+02,5.017344011616952093e-01
4.360000000000000000e+02,5.016830440149562254e-01
4.369999999999999432e+02,5.014158049289534347e-01
4.380000000000000000e+02,5.009323659346126556e-01
4.389999999999999432e+02,5.002328315145219140e-01
4.399999999999999432e+02,4.993386129844122889e-01
4.410000000000000000e+02,4.982826219503340703e-01
4.419999999999999432e+02,4.970264498631012384e-01
4.430000000000000000e+02,4.955886602534860796e-01
4.440000000000000000e+02,4.940197232330622024e-01
4.450000000000000000e+02,4.922548883507035233e-01
4.460000000000000000e+02,4.902871602403450213e-01
4.469999999999999432e+02,4.881428224147786876e-01
4.480000000000000000e+02,4.858098124134183071e-01
4.489999999999999432e+02,4.832897156808179662e-01
4.500000000000000000e+02,4.805965783438894690e-01
4.510000000000000000e+02,4.777177126175801147e-01
4.519999999999999432e+02,4.746508299215461135e-01
4.530000000000000000e+02,4.714370859699855698e-01
