wavelength_nm,R,T,A
4.000000000000000000e+02,7.824096474260200385e-01,1.077897991495162591e-02,2.068113726590283252e-01
4.010000000000000000e+02,7.835028904570493502e-01,1.069592673691209875e-02,2.058011828060385406e-01
4.020000000000000000e+02,7.847902449461079399e-01,1.061314624238428664e-02,2.045966088115077630e-01
4.030000000000000000e+02,7.862528297723863080e-01,1.052894422634748951e-02,2.032182260012662112e-01
4.039999999999999432e+02,7.878735075028003854e-01,1.044380244750349809e-02,2.016826900496961061e-01
4.050000000000000000e+02,7.896374935868045730e-01,1.036052494603320086e-02,2.000019814671622209e-01
4.059999999999999432e+02,7.915201262792056491e-01,1.028113270502911854e-02,1.981987410157652341e-01
4.070000000000000000e+02,7.935032249779619962e-01,1.020465787333234980e-02,1.962921171487056471e-01
4.080000000000000000e+02,7.955654494045354408e-01,1.013025419243425256e-02,1.943042964030303188e-01
4.089999999999999432e+02,7.976842967853262634e-01,1.005615076311714394e-02,1.922595524515565979e-01
4.100000000000000000e+02,7.998371949584817120e-01,9.987656451234895941e-03,1.901751485902833938e-01
4.109999999999999432e+02,8.020024041215532140e-01,9.924061103733309783e-03,1.880735347747134745e-01
4.120000000000000000e+02,8.041599251360775913e-01,9.866086827449729868e-03,1.859739880364726927e-01
4.130000000000000000e+02,8.062909482091126234e-01,9.815954545997936098e-03,1.838930972448894474e-01
4.140000000000000000e+02,8.082885366283202311e-01,9.729703212714850211e-03,1.819817601589649170e-01
4.150000000000000000e+02,8.101743295867187555e-01,9.637913199381070370e-03,1.801877572139001793e-01
4.159999999999999432e+02,8.119671172904638912e-01,9.557776379152605611e-03,1.784751063303834928e-01
4.170000000000000000e+02,8.136541762059437133e-01,9.488295834338709989e-03,1.768575279597175698e-01
4.179999999999999432e+02,8.152260633584249572e-01,9.430958436099206796e-03,1.753429782054758412e-01
4.190000000000000000e+02,8.166739568476134581e-01,9.385952248561068786e-03,1.739400909038254783e-01
4.200000000000000000e+02,8.179927860015484553e-01,9.351401218581138070e-03,1.726558127798704101e-01
4.209999999999999432e+02,8.191687728113702383e-01,9.329972862605282954e-03,1.715012543260244771e-01
4.220000000000000000e+02,8.201973229056646053e-01,9.321372409644323315e-03,1.704813046846910818e-01
4.229999999999999432e+02,8.210750228316560095e-01,9.325062669459505474e-03,1.695999144988844798e-01
4.240000000000000000e+02,8.217954531794237072e-01,9.342956365139492778e-03,1.688615904554368052e-01
4.249999999999999432e+02,8.223528433757480993e-01,9.375344726154090716e-03,1.682718118980978117e-01
