wavelength_nm,R,T,A
4.004999999999999432e+02,1.378224477265150294e-01,4.242345436692981160e-04,8.617533177298156710e-01
4.010000000000000000e+02,1.388903482499947717e-01,4.731774934827275817e-04,8.606364742565224546e-01
4.020000000000000000e+02,1.413287231450335579e-01,5.877326886266239208e-04,8.580835441663398067e-01
4.030000000000000000e+02,1.440666157727446550e-01,7.108179773810963933e-04,8.552225662498742498e-01
4.039999999999999432e+02,1.468579500488559342e-01,8.379031549968545206e-04,8.523041467961471884e-01
4.050000000000000000e+02,1.494747079503635501e-01,9.878529956019398671e-04,8.495374390540345599e-01
4.059999999999999432e+02,1.517721493159379931e-01,1.116372561612724232e-03,8.471114781224493573e-01
4.070000000000000000e+02,1.539152618975854481e-01,1.248753463820440621e-03,8.448359846385941063e-01
4.080000000000000000e+02,1.562173261993367035e-01,1.404726829875127189e-03,8.423779469707881606e-01
4.089999999999999432e+02,1.590129246665054064e-01,1.616314135819334717e-03,8.393707611976752858e-01
4.100000000000000000e+02,1.624638776047931388e-01,1.855502536266822374e-03,8.356806198589400436e-01
4.109999999999999432e+02,1.667294874094737422e-01,2.118802061699455799e-03,8.311517105288267482e-01
4.120000000000000000e+02,1.717175845407612200e-01,2.406967335936500280e-03,8.258754481233022693e-01
4.130000000000000000e+02,1.771636687227100826e-01,2.728501579272618084e-03,8.201078296980173210e-01
4.140000000000000000e+02,1.823752209975462446e-01,2.998697436684178656e-03,8.146260815657696552e-01
4.150000000000000000e+02,1.869619211219484267e-01,3.256737771646895686e-03,8.097813411064046507e-01
4.159999999999999432e+02,1.906901591551568020e-01,3.544989380344264890e-03,8.057648514644988325e-01
4.170000000000000000e+02,1.934403307523605564e-01,3.813309423913075619e-03,8.027463598237263298e-01
4.179999999999999432e+02,1.953511156859674136e-01,4.105691078277670658e-03,8.005431932357549574e-01
4.190000000000000000e+02,1.967355968018943968e-01,4.439313958843836214e-03,7.988250892392617653e-01
4.200000000000000000e+02,1.980731715958255479e-01,4.916114582494628127e-03,7.970107138216798726e-01
4.209999999999999432e+02,1.997097200779358039e-01,5.437312737283655703e-03,7.948529671847804901e-01
4.220000000000000000e+02,2.021886564154997679e-01,5.998840311198263414e-03,7.918125032733019930e-01
4.229999999999999432e+02,2.058744011256635476e-01,6.598524897529078545e-03,7.875270739768073236e-01
4.240000000000000000e+02,2.109248520202807176e-01,7.221223942885005020e-03,7.818539240368342913e-01
4.249999999999999432e+02,2.172772676115965751e-01,7.718533032872857726e-03,7.750041993555305542e-01
4.260000000000000000e+02,2.242989469663550783e-01,7.999823851049480544e-03,7.677012291825954238e-01
4.270000000000000000e+02,2.312663982675358665e-01,8.285167955718205496e-03,7.604484337767459801e-01
4.279999999999999432e+02,2.375344971649843706e-01,8.608563705238355193e-03,7.538569391297772482e-01
4.290000000000000000e+02,2.427006749757839310e-01,8.988103460717832699e-03,7.483112215634981634e-01
4.299999999999999432e+02,2.464699006219246979e-01,9.425863129022361842e-03,7.441042362490529749e-01
4.310000000000000000e+02,2.486657402625811752e-01,9.936608999570873541e-03,7.413976507378480241e-01
4.319999999999999432e+02,2.492883441572735781e-01,1.053066442814204473e-02,7.401809914145844882e-01
4.330000000000000000e+02,2.484785846823287792e-01,1.121361550330418275e-02,7.403077998143671179e-01
4.340000000000000000e+02,2.467295346475376350e-01,1.171636488069221008e-02,7.415541004717701723e-01
4.349999999999999432e+02,2.448998429054576320e-01,1.197614868182731926e-02,7.431240084127150869e-01
4.360000000000000000e+02,2.435626015653757914e-01,1.221786434833616909e-02,7.442195340862880482e-01
4.369999999999999432e+02,2.429659147490980664e-01,1.278186940454260206e-02,7.442522158463592552e-01
4.380000000000000000e+02,2.431635753203679196e-01,1.390034249366061542e-02,7.429360821859715136e-01
4.389999999999999432e+02,2.450595795149080325e-01,1.502370346662953993e-02,7.399167170184625109e-01
4.399999999999999432e+02,2.491810614196178497e-01,1.593005918131487619e-02,7.348888793990673296e-01
4.410000000000000000e+02,2.554933572193704983e-01,1.632442515313676373e-02,7.281822176274926894e-01
4.419999999999999432e+02,2.632018824018886316e-01,1.663249172919627553e-02,7.201656258689150825e-01
4.430000000000000000e+02,2.715371675151740938e-01,1.698366193079066735e-02,7.114791705540352007e-01
4.440000000000000000e+02,2.796496349748160970e-01,1.772912526588012877e-02,7.026212397593037950e-01
4.450000000000000000e+02,2.875840626686848589e-01,1.848713375712984427e-02,6.939288035741852934e-01
4.460000000000000000e+02,2.947596436328906444e-01,1.929823374487394175e-02,6.859421226222354173e-01
4.469999999999999432e+02,2.991127049301278151e-01,1.909723086369476824e-02,6.817900642061773819e-01
4.480000000000000000e+02,3.014499692231011885e-01,1.902520114911771670e-02,6.795248296277810462e-01
4.489999999999999432e+02,3.017207333612589859e-01,1.908914736340808563e-02,6.791901192753329042e-01
4.500000000000000000e+02,3.014184616103195435e-01,2.026778377103109763e-02,6.783137546186494005e-01
4.510000000000000000e+02,2.994087960809009852e-01,2.194314004356975878e-02,6.786480638755292283e-01
4.519999999999999432e+02,2.952237497791970755e-01,2.393331872822936079e-02,6.808429314925735776e-01
4.530000000000000000e+02,2.885222198706204333e-01,2.554001747519268201e-02,6.859377626541869333e-01
4.539999999999999432e+02,2.801592845593980363e-01,2.657374254122842408e-02,6.932669728993734459e-01
4.550000000000000000e+02,2.712506649037182416e-01,2.767070298639298653e-02,7.010786321098887441e-01
4.559999999999999432e+02,2.626055502466220770e-01,2.873265001525666246e-02,7.086617997381212675e-01
4.570000000000000000e+02,2.552404735974088679e-01,2.958058427338092905e-02,7.151789421292101823e-01
