wavelength_nm,R,T,A
4.000000000000000000e+02,3.813530230815705413e-01,5.967310110204412064e-09,6.186469709511194237e-01
4.010025062656641239e+02,3.795171094350352492e-01,7.442159881524410899e-09,6.204828831228048625e-01
4.020050125313283047e+02,3.774616113660824168e-01,8.914413036799150099e-09,6.225383797195045421e-01
4.030075187969924855e+02,3.754807754414551391e-01,9.754660821919672202e-09,6.245192148038840596e-01
4.040100250626566094e+02,3.737229148171812287e-01,9.724618463682736334e-09,6.262770754582003274e-01
4.050125313283207902e+02,3.721045418345459987e-01,9.093915507282504500e-09,6.278954490715384917e-01
4.060150375939849710e+02,3.705523016232092903e-01,7.062768670616933297e-09,6.294476913140220065e-01
4.070175438596490949e+02,3.690362345786169507e-01,4.920909050812116646e-09,6.309637605004740912e-01
4.080200501253132757e+02,3.674957433144140917e-01,3.121165674092537532e-09,6.325042535644201935e-01
4.090225563909774564e+02,3.660480622750524327e-01,1.906000935220986639e-09,6.339519358189467102e-01
4.100250626566415804e+02,3.645990503949967931e-01,1.060490377644710287e-09,6.354009485445129002e-01
4.110275689223057611e+02,3.632204237752905684e-01,7.267334982712538458e-10,6.367795754979760359e-01
4.120300751879699419e+02,3.618926573588731044e-01,8.607962947114573816e-10,6.381073417803305725e-01
4.130325814536340658e+02,3.605502810405782910e-01,1.293514575066942097e-09,6.394497176659070803e-01
4.140350877192982466e+02,3.592705829642961479e-01,1.650713382048507557e-09,6.407294153849905083e-01
4.150375939849624274e+02,3.580148978571764951e-01,1.777382098423180304e-09,6.419851003654414301e-01
4.160401002506265513e+02,3.567547330667765748e-01,1.704660669897752485e-09,6.432452652285627348e-01
4.170426065162907321e+02,3.555518420682109437e-01,1.510679575228501063e-09,6.444481564211095304e-01
4.180451127819549129e+02,3.543464583293715608e-01,1.348068161435424251e-09,6.456535403225601710e-01
4.190476190476189799e+02,3.531459773304660987e-01,1.297391247124989841e-09,6.468540213721426513e-01
4.200501253132831607e+02,3.520016693945932085e-01,1.446665307636794128e-09,6.479983291587414485e-01
4.210526315789473415e+02,3.508513206315467814e-01,1.839127731269609596e-09,6.491486775293254796e-01
4.220551378446114654e+02,3.497235120944098274e-01,2.468189859248226134e-09,6.502764854374003534e-01
4.230576441102756462e+02,3.486418688646841235e-01,3.061724461218572354e-09,6.513581280735913914e-01
4.240601503759398270e+02,3.475556856878921907e-01,3.030419264309430642e-09,6.524443112816885604e-01
4.250626566416039509e+02,3.464837858240586987e-01,1.793609913150935872e-09,6.535162123823313740e-01
4.260651629072681317e+02,3.454317921851390305e-01,3.462862406303700994e-10,6.545682074685746921e-01
4.270676691729323124e+02,3.443782614532452935e-01,1.171913208309330270e-09,6.556217373748414179e-01
4.280701754385964364e+02,3.433729668845941219e-01,6.880888921239082182e-09,6.566270262345168529e-01
4.290726817042606172e+02,3.424049302810110440e-01,1.907492942758462492e-08,6.575950506440595422e-01
4.300751879699247979e+02,3.414451768260380327e-01,3.783161489057201595e-08,6.585547853423471265e-01
4.310776942355889219e+02,3.405095283791426120e-01,6.137934739295854047e-08,6.594904102415100056e-01
4.320802005012531026e+02,3.395722902408729316e-01,8.940277503789219193e-08,6.604276203563520520e-01
4.330827067669172834e+02,3.385962297032240054e-01,1.293537235706241887e-07,6.614036409430523733e-01
4.340852130325814073e+02,3.376689397035421702e-01,1.800681758516748939e-07,6.623308802282820151e-01
4.350877192982455881e+02,3.368462023883250778e-01,2.600672333637037121e-07,6.631535375444415070e-01
4.360902255639097689e+02,3.361085266376556135e-01,4.182641101205205273e-07,6.638910550982343173e-01
4.370927318295738928e+02,3.353883260175378189e-01,8.046974860090258626e-07,6.646108692849761468e-01
4.380952380952380736e+02,3.345808103587101234e-01,1.716269506486343776e-06,6.654174733717833634e-01
4.390977443609022544e+02,3.335542095504007709e-01,3.447390742754897256e-06,6.664423430588565234e-01
4.401002506265663783e+02,3.323061594074054881e-01,6.165935505103893735e-06,6.676876746570894472e-01
4.411027568922305591e+02,3.310723047520092721e-01,9.618209658329719190e-06,6.689180770383325036e-01
4.421052631578947398e+02,3.301464623637505591e-01,1.429630268938719458e-05,6.698392413335600981e-01
4.431077694235588638e+02,3.297611927052915837e-01,2.089579775193107207e-05,6.702179114969565310e-01
4.441102756892230445e+02,3.299080537155920645e-01,3.129550921047134652e-05,6.700606507751974972e-01
4.451127819548872253e+02,3.303522107161449006e-01,4.583553898723545593e-05,6.696019537448678616e-01
4.461152882205513492e+02,3.307072427000739556e-01,6.492901869460280606e-05,6.692278282812315071e-01
4.471177944862155300e+02,3.304204456603979656e-01,7.768542713711991659e-05,6.695018689124648814e-01
4.481203007518797108e+02,3.294693589056164607e-01,9.226801568946508582e-05,6.704383730786940276e-01
4.491228070175438347e+02,3.280344568737393329e-01,1.079720064264720278e-04,6.718575711198342404e-01
4.501253132832080155e+02,3.266945262902163916e-01,1.481167688770763761e-04,6.731573569409066149e-01
4.511278195488721963e+02,3.256672230003938573e-01,2.006817329859451047e-04,6.741320952666202126e-01
4.521303258145363202e+02,3.253699672925977615e-01,2.643293964198474653e-04,6.743657033109823340e-01
4.531328320802005010e+02,3.258679110128366863e-01,3.060338445116187736e-04,6.738260551426517031e-01
4.541353383458646249e+02,3.269737449782659788e-01,3.304464845527247405e-04,6.726958085371813612e-01
4.551378446115288057e+02,3.284172799943900767e-01,3.573440602699231661e-04,6.712253759453400415e-01
4.561403508771929296e+02,3.298195017017562236e-01,3.871397570371557222e-04,6.697933585412065849e-01
4.571428571428571672e+02,3.308869315204541750e-01,4.186433059589479656e-04,6.686944251735869038e-01
4.581453634085212343e+02,3.315314385056127855e-01,4.545766203177601500e-04,6.680139848740694886e-01
4.591478696741854151e+02,3.318085231247310807e-01,4.932286080688252873e-04,6.676982482672001451e-01
4.601503759398495959e+02,3.318122709734606102e-01,5.206163359353686111e-04,6.676671126906040810e-01
4.611528822055137198e+02,3.317842159769022747e-01,5.446333454188369673e-04,6.676711506776789040e-01
4.621553884711779006e+02,3.318504814714967610e-01,5.648956046261331687e-04,6.675846229238771024e-01
4.631578947368420813e+02,3.319998368527682375e-01,5.748338243223344215e-04,6.674253293229094330e-01
4.641604010025062053e+02,3.322042740457778476e-01,5.764248743125946223e-04,6.672193010799095658e-01
4.651629072681703860e+02,3.324250999426132114e-01,5.759748940075879418e-04,6.669989251633791083e-01
4.661654135338345668e+02,3.326330586384054766e-01,5.808723502305799613e-04,6.667860690113639466e-01
